Target Distance: 50, Step Size: 2
76: (x, y) = (1.14715, 1.6383)
77: (x, y) = (1.98904, 0.209057)
78: (x, y) = (1.31212, 1.50942)
79: (x, y) = (1.23132, -1.57602)
80: (x, y) = (0.813473, 1.82709)
81: (x, y) = (-1.94059, 0.483844)
82: (x, y) = (1.71433, 1.03008)
83: (x, y) = (0.243739, 1.98509)
84: (x, y) = (-1.96962, 0.347296)
85: (x, y) = (-1.91261, 0.584743)
86: (x, y) = (-1.89104, 0.651136)
87: (x, y) = (-1.33826, -1.48629)
88: (x, y) = (1.98904, -0.209057)
89: (x, y) = (-1.97538, -0.312869)
90: (x, y) = (1.78201, -0.907981)
91: (x, y) = (1.14715, 1.6383)
92: (x, y) = (-1.99239, 0.174311)
93: (x, y) = (0.584743, -1.91261)
94: (x, y) = (1.41421, 1.41421)
95: (x, y) = (-0.347296, -1.96962)
96: (x, y) = (1.48629, -1.33826)
97: (x, y) = (1.05984, 1.6961)
98: (x, y) = (-1.08928, -1.67734)
99: (x, y) = (1.17557, 1.61803)
100: (x, y) = (-1.03008, -1.71433)
101: (x, y) = (-1.91261, 0.584743)
102: (x, y) = (-1.93185, -0.517638)
103: (x, y) = (1.28558, -1.53209)
104: (x, y) = (-0.104672, -1.99726)
105: (x, y) = (-1.81262, 0.845237)
106: (x, y) = (1.59727, -1.20363)
107: (x, y) = (-1.94059, -0.483844)
108: (x, y) = (-1.90211, 0.618034)
109: (x, y) = (1.9563, 0.415823)
110: (x, y) = (-1.59727, 1.20363)
111: (x, y) = (-0.347296, 1.96962)
112: (x, y) = (1.28558, 1.53209)
113: (x, y) = (-1.98904, 0.209057)
114: (x, y) = (1.11839, 1.65808)
115: (x, y) = (-1.50942, -1.31212)
116: (x, y) = (-1.74924, -0.969619)
117: (x, y) = (-1.59727, -1.20363)
118: (x, y) = (1.55429, -1.25864)
119: (x, y) = (0.517638, 1.93185)
120: (x, y) = (1.38932, 1.43868)
121: (x, y) = (0.813473, -1.82709)
122: (x, y) = (1.99878, 0.069799)
123: (x, y) = (-0.104672, 1.99726)
124: (x, y) = (-0.104672, 1.99726)
125: (x, y) = (1.364, 1.46271)
126: (x, y) = (1.98509, -0.243739)
127: (x, y) = (1.23132, 1.57602)
128: (x, y) = (1.84101, -0.781462)
129: (x, y) = (-0.415823, 1.9563)
130: (x, y) = (1.85437, -0.749213)
131: (x, y) = (-1.61803, -1.17557)
132: (x, y) = (-1.46271, 1.364)
133: (x, y) = (1.41421, 1.41421)
134: (x, y) = (-1.94874, 0.449902)
135: (x, y) = (1.41421, 1.41421)
136: (x, y) = (-1.87939, -0.68404)
137: (x, y) = (-1.28558, 1.53209)
138: (x, y) = (-1.03008, -1.71433)
139: (x, y) = (-1.17557, -1.61803)
140: (x, y) = (1.93185, 0.517638)
141: (x, y) = (-0.551275, -1.92252)
142: (x, y) = (-1.78201, -0.907981)
143: (x, y) = (0.907981, -1.78201)
144: (x, y) = (1, -1.73205)
145: (x, y) = (-0.243739, -1.98509)
146: (x, y) = (-1.85437, 0.749213)
147: (x, y) = (-1.71433, 1.03008)
148: (x, y) = (-1, 1.73205)
149: (x, y) = (1.97538, -0.312869)
150: (x, y) = (-0.209057, 1.98904)
151: (x, y) = (1.57602, 1.23132)
152: (x, y) = (-1.84101, 0.781462)
153: (x, y) = (-0.278346, 1.98054)
154: (x, y) = (-1.31212, 1.50942)
155: (x, y) = (-0.651136, -1.89104)
156: (x, y) = (1.90211, 0.618034)
157: (x, y) = (1.99513, -0.139513)
158: (x, y) = (-1.99239, 0.174311)
159: (x, y) = (1.99239, -0.174311)
160: (x, y) = (1.74924, -0.969619)
161: (x, y) = (1.81262, 0.845237)
162: (x, y) = (-1.6961, -1.05984)
163: (x, y) = (-0.618034, 1.90211)
164: (x, y) = (0.68404, 1.87939)
165: (x, y) = (-0.651136, -1.89104)
166: (x, y) = (-1.78201, 0.907981)
167: (x, y) = (-1.57602, 1.23132)
168: (x, y) = (-0.584743, -1.91261)
169: (x, y) = (-0.174311, -1.99239)
170: (x, y) = (1.91261, 0.584743)
171: (x, y) = (-1.53209, 1.28558)
172: (x, y) = (-1.86716, 0.716736)
173: (x, y) = (-1.43868, -1.38932)
174: (x, y) = (0.415823, 1.9563)
175: (x, y) = (-0.347296, 1.96962)
176: (x, y) = (1.9997, -0.0349048)
177: (x, y) = (-0.618034, 1.90211)
178: (x, y) = (-1.03008, 1.71433)
179: (x, y) = (-0.969619, 1.74924)
180: (x, y) = (-0.347296, 1.96962)
181: (x, y) = (-1.57602, -1.23132)
182: (x, y) = (1.74924, 0.969619)
183: (x, y) = (-0.449902, -1.94874)
184: (x, y) = (-1.98054, -0.278346)
185: (x, y) = (1.6961, 1.05984)
186: (x, y) = (1.87939, 0.68404)
187: (x, y) = (-1.79759, -0.876742)
188: (x, y) = (1.7659, 0.938943)
189: (x, y) = (0.781462, 1.84101)
190: (x, y) = (-1.85437, -0.749213)
191: (x, y) = (1.9997, -0.0349048)
192: (x, y) = (-0.069799, 1.99878)
193: (x, y) = (0.551275, -1.92252)
194: (x, y) = (-0.618034, 1.90211)
195: (x, y) = (1.65808, 1.11839)
196: (x, y) = (1.31212, 1.50942)
197: (x, y) = (-1.364, 1.46271)
198: (x, y) = (-1.99726, 0.104672)
199: (x, y) = (1.05984, -1.6961)
200: (x, y) = (-3.67394e-16, -2)
201: (x, y) = (0.813473, 1.82709)
202: (x, y) = (0.243739, 1.98509)
203: (x, y) = (0.68404, 1.87939)
204: (x, y) = (-1.90211, 0.618034)
205: (x, y) = (1.67734, 1.08928)
206: (x, y) = (1.48629, 1.33826)
207: (x, y) = (-1.89104, 0.651136)
208: (x, y) = (-1.55429, 1.25864)
209: (x, y) = (1.6383, 1.14715)
210: (x, y) = (-1.7659, 0.938943)
211: (x, y) = (-0.969619, -1.74924)
212: (x, y) = (-1.14715, 1.6383)
213: (x, y) = (-1.9997, -0.0349048)
214: (x, y) = (-1.50942, 1.31212)
215: (x, y) = (1.38932, -1.43868)
216: (x, y) = (-1.67734, -1.08928)
217: (x, y) = (1.71433, 1.03008)
218: (x, y) = (1.6961, 1.05984)
219: (x, y) = (-0.781462, 1.84101)
220: (x, y) = (-0.312869, 1.97538)
221: (x, y) = (-1.17557, -1.61803)
222: (x, y) = (1.93185, -0.517638)
223: (x, y) = (0.907981, 1.78201)
224: (x, y) = (1.6961, 1.05984)
225: (x, y) = (-0.104672, 1.99726)
226: (x, y) = (-0.278346, 1.98054)
227: (x, y) = (0.312869, 1.97538)
228: (x, y) = (-0.278346, 1.98054)
229: (x, y) = (0.174311, -1.99239)
230: (x, y) = (-0.483844, -1.94059)
231: (x, y) = (1.97538, 0.312869)
232: (x, y) = (-1.67734, -1.08928)
233: (x, y) = (-1.71433, -1.03008)
234: (x, y) = (1.31212, -1.50942)
235: (x, y) = (1.93185, 0.517638)
236: (x, y) = (-0.876742, -1.79759)
237: (x, y) = (1.98509, -0.243739)
238: (x, y) = (1.33826, 1.48629)
239: (x, y) = (1.81262, 0.845237)
240: (x, y) = (-0.347296, -1.96962)
241: (x, y) = (-1.87939, -0.68404)
242: (x, y) = (-1.50942, 1.31212)
243: (x, y) = (1.79759, 0.876742)
244: (x, y) = (-0.584743, -1.91261)
245: (x, y) = (-1.73205, 1)
246: (x, y) = (-1.6961, -1.05984)
247: (x, y) = (1.85437, -0.749213)
248: (x, y) = (-1.9997, -0.0349048)
249: (x, y) = (-0.876742, -1.79759)
250: (x, y) = (-0.0349048, 1.9997)
251: (x, y) = (0.347296, -1.96962)
252: (x, y) = (1.97538, -0.312869)
253: (x, y) = (0.483844, 1.94059)
254: (x, y) = (-1.61803, -1.17557)
255: (x, y) = (1.84101, 0.781462)
256: (x, y) = (1.50942, 1.31212)
257: (x, y) = (1.38932, -1.43868)
258: (x, y) = (1.84101, -0.781462)
259: (x, y) = (1.9563, 0.415823)
260: (x, y) = (-0.381618, 1.96325)
261: (x, y) = (-1.20363, -1.59727)
262: (x, y) = (1.86716, 0.716736)
263: (x, y) = (1.38932, -1.43868)
264: (x, y) = (0.209057, 1.98904)
265: (x, y) = (-1.82709, -0.813473)
266: (x, y) = (-1.86716, -0.716736)
267: (x, y) = (-1.87939, -0.68404)
268: (x, y) = (0.716736, 1.86716)
269: (x, y) = (-1.03008, 1.71433)
270: (x, y) = (-1.41421, -1.41421)
271: (x, y) = (1.71433, -1.03008)
272: (x, y) = (1.55429, -1.25864)
273: (x, y) = (-1.11839, -1.65808)
274: (x, y) = (-1.364, -1.46271)
275: (x, y) = (0.139513, 1.99513)
276: (x, y) = (1.79759, 0.876742)
277: (x, y) = (0.381618, 1.96325)
278: (x, y) = (0.876742, 1.79759)
279: (x, y) = (-1.7659, -0.938943)
280: (x, y) = (-1.92252, -0.551275)
281: (x, y) = (1.78201, 0.907981)
282: (x, y) = (2, 0)
283: (x, y) = (-1.98509, -0.243739)
284: (x, y) = (1.82709, -0.813473)
285: (x, y) = (-1.61803, -1.17557)
286: (x, y) = (0.278346, 1.98054)
287: (x, y) = (-0.716736, -1.86716)
288: (x, y) = (1.48629, 1.33826)
289: (x, y) = (1.03008, 1.71433)
290: (x, y) = (-0.312869, -1.97538)
291: (x, y) = (-1.59727, 1.20363)
292: (x, y) = (0.749213, -1.85437)
293: (x, y) = (-1.79759, 0.876742)
294: (x, y) = (1.71433, -1.03008)
295: (x, y) = (-0.749213, -1.85437)
296: (x, y) = (1.99878, -0.069799)
297: (x, y) = (-1.96962, 0.347296)
298: (x, y) = (0.069799, 1.99878)
299: (x, y) = (0.969619, -1.74924)
300: (x, y) = (0.716736, -1.86716)
301: (x, y) = (-1.98904, -0.209057)
302: (x, y) = (-0.0349048, -1.9997)
303: (x, y) = (-1.11839, 1.65808)
304: (x, y) = (0.938943, 1.7659)
305: (x, y) = (-1.43868, 1.38932)
306: (x, y) = (0.278346, 1.98054)
307: (x, y) = (0.0349048, 1.9997)
308: (x, y) = (0.069799, 1.99878)
309: (x, y) = (-1.65808, 1.11839)
310: (x, y) = (-1.96325, 0.381618)
311: (x, y) = (0.483844, -1.94059)
312: (x, y) = (1.38932, 1.43868)
313: (x, y) = (-1.96325, 0.381618)
314: (x, y) = (-0.716736, 1.86716)
315: (x, y) = (1.85437, 0.749213)
316: (x, y) = (-0.415823, -1.9563)
317: (x, y) = (-1.94874, -0.449902)
318: (x, y) = (-1.59727, 1.20363)
319: (x, y) = (1, -1.73205)
320: (x, y) = (-1.14715, 1.6383)
321: (x, y) = (0.243739, -1.98509)
322: (x, y) = (1.43868, -1.38932)
323: (x, y) = (1.08928, 1.67734)
324: (x, y) = (1.08928, -1.67734)
325: (x, y) = (0.517638, -1.93185)
326: (x, y) = (-1.99878, 0.069799)
327: (x, y) = (1.05984, -1.6961)
328: (x, y) = (1.6961, -1.05984)
329: (x, y) = (-0.139513, -1.99513)
330: (x, y) = (-0.781462, 1.84101)
331: (x, y) = (-1.31212, 1.50942)
332: (x, y) = (-0.069799, 1.99878)
333: (x, y) = (1.85437, 0.749213)
334: (x, y) = (-0.483844, -1.94059)
335: (x, y) = (-1.81262, 0.845237)
336: (x, y) = (1.71433, 1.03008)
337: (x, y) = (1.85437, -0.749213)
338: (x, y) = (-0.876742, -1.79759)
339: (x, y) = (-0.969619, 1.74924)
340: (x, y) = (1.99726, -0.104672)
341: (x, y) = (0.517638, -1.93185)
342: (x, y) = (0.174311, -1.99239)
343: (x, y) = (1.46271, 1.364)
344: (x, y) = (-0.139513, 1.99513)
345: (x, y) = (1.79759, 0.876742)
346: (x, y) = (0.907981, -1.78201)
347: (x, y) = (-1.43868, -1.38932)
348: (x, y) = (-0.0349048, 1.9997)
349: (x, y) = (1.33826, -1.48629)
350: (x, y) = (1.59727, 1.20363)
351: (x, y) = (-1.61803, -1.17557)
352: (x, y) = (-1.31212, -1.50942)
353: (x, y) = (1.98509, -0.243739)
354: (x, y) = (-1.65808, 1.11839)
355: (x, y) = (-1.98509, 0.243739)
356: (x, y) = (0.278346, -1.98054)
357: (x, y) = (1.61803, -1.17557)
358: (x, y) = (1.94874, -0.449902)
359: (x, y) = (-0.813473, -1.82709)
360: (x, y) = (-0.415823, 1.9563)
361: (x, y) = (-0.347296, 1.96962)
362: (x, y) = (1.90211, 0.618034)
363: (x, y) = (-1.93185, -0.517638)
364: (x, y) = (1.99239, -0.174311)
365: (x, y) = (-1.65808, 1.11839)
366: (x, y) = (-1.48629, -1.33826)
367: (x, y) = (1.79759, 0.876742)
368: (x, y) = (1.99513, -0.139513)
369: (x, y) = (1.85437, -0.749213)
370: (x, y) = (1.91261, 0.584743)
371: (x, y) = (-1.41421, -1.41421)
372: (x, y) = (-0.243739, -1.98509)
373: (x, y) = (0.749213, -1.85437)
374: (x, y) = (-0.069799, -1.99878)
375: (x, y) = (-1.31212, -1.50942)
376: (x, y) = (-1.96962, -0.347296)
377: (x, y) = (0.449902, 1.94874)
378: (x, y) = (-0.139513, 1.99513)
379: (x, y) = (-1.78201, 0.907981)
380: (x, y) = (1.73205, 1)
381: (x, y) = (-1.31212, 1.50942)
382: (x, y) = (1.96962, 0.347296)
383: (x, y) = (-1.31212, 1.50942)
384: (x, y) = (-1.11839, 1.65808)
385: (x, y) = (1.7659, 0.938943)
386: (x, y) = (1.11839, -1.65808)
387: (x, y) = (0.139513, -1.99513)
388: (x, y) = (-1.43868, -1.38932)
389: (x, y) = (-1.91261, 0.584743)
390: (x, y) = (1.67734, 1.08928)
391: (x, y) = (1.65808, -1.11839)
392: (x, y) = (-0.209057, -1.98904)
393: (x, y) = (0.449902, -1.94874)
394: (x, y) = (-1.89104, 0.651136)
395: (x, y) = (-0.381618, -1.96325)
396: (x, y) = (1.03008, -1.71433)
397: (x, y) = (1.84101, 0.781462)
398: (x, y) = (-1.84101, 0.781462)
399: (x, y) = (0.907981, -1.78201)
400: (x, y) = (1.9997, 0.0349048)
401: (x, y) = (-1.98904, 0.209057)
402: (x, y) = (-1.91261, 0.584743)
403: (x, y) = (-1.43868, 1.38932)
404: (x, y) = (-0.551275, 1.92252)
405: (x, y) = (1.08928, -1.67734)
406: (x, y) = (1.98904, 0.209057)
407: (x, y) = (0.876742, -1.79759)
408: (x, y) = (-0.584743, -1.91261)
409: (x, y) = (-0.347296, 1.96962)
410: (x, y) = (0.0349048, 1.9997)
411: (x, y) = (-1.81262, 0.845237)
412: (x, y) = (-0.449902, 1.94874)
413: (x, y) = (1.74924, -0.969619)
414: (x, y) = (0.551275, -1.92252)
415: (x, y) = (-0.312869, 1.97538)
416: (x, y) = (-1.25864, -1.55429)
417: (x, y) = (-0.449902, 1.94874)
418: (x, y) = (1.94874, 0.449902)
419: (x, y) = (-0.174311, 1.99239)
420: (x, y) = (-0.139513, -1.99513)
421: (x, y) = (0.278346, -1.98054)
422: (x, y) = (0.813473, -1.82709)
423: (x, y) = (1.48629, 1.33826)
424: (x, y) = (-1.86716, -0.716736)
425: (x, y) = (-0.174311, 1.99239)
426: (x, y) = (-1.98509, 0.243739)
427: (x, y) = (1.94059, 0.483844)
428: (x, y) = (1.97538, -0.312869)
429: (x, y) = (1.73205, -1)
430: (x, y) = (1.33826, -1.48629)
431: (x, y) = (-1.43868, -1.38932)
432: (x, y) = (1.92252, 0.551275)
433: (x, y) = (1.94874, -0.449902)
434: (x, y) = (1.9997, 0.0349048)
435: (x, y) = (1.98904, -0.209057)
436: (x, y) = (-1.90211, 0.618034)
437: (x, y) = (-1.03008, -1.71433)
438: (x, y) = (-1.90211, 0.618034)
439: (x, y) = (1.14715, 1.6383)
440: (x, y) = (1.86716, -0.716736)
441: (x, y) = (-1.11839, 1.65808)
442: (x, y) = (-1.73205, -1)
443: (x, y) = (1.38932, -1.43868)
444: (x, y) = (1.67734, -1.08928)
445: (x, y) = (1.97538, 0.312869)
446: (x, y) = (1.20363, 1.59727)
447: (x, y) = (-1.89104, -0.651136)
448: (x, y) = (-0.749213, 1.85437)
449: (x, y) = (0.938943, -1.7659)
450: (x, y) = (-1.94059, 0.483844)
451: (x, y) = (1.90211, 0.618034)
452: (x, y) = (-1.59727, -1.20363)
453: (x, y) = (-0.347296, 1.96962)
454: (x, y) = (0.781462, -1.84101)
455: (x, y) = (0.68404, -1.87939)
456: (x, y) = (0.749213, 1.85437)
457: (x, y) = (-0.551275, 1.92252)
458: (x, y) = (1.14715, -1.6383)
459: (x, y) = (0.716736, -1.86716)
460: (x, y) = (1.25864, -1.55429)
461: (x, y) = (-1.25864, 1.55429)
462: (x, y) = (-1.81262, 0.845237)
463: (x, y) = (-1.91261, -0.584743)
464: (x, y) = (-0.876742, 1.79759)
465: (x, y) = (1.7659, 0.938943)
466: (x, y) = (-1.9563, -0.415823)
467: (x, y) = (-1.73205, 1)
468: (x, y) = (-0.104672, -1.99726)
469: (x, y) = (1.98904, -0.209057)
470: (x, y) = (-1.79759, -0.876742)
471: (x, y) = (-0.938943, 1.7659)
472: (x, y) = (-0.938943, 1.7659)
473: (x, y) = (0.618034, -1.90211)
474: (x, y) = (0.618034, 1.90211)
475: (x, y) = (1.48629, -1.33826)
476: (x, y) = (0.907981, -1.78201)
477: (x, y) = (1.99726, -0.104672)
478: (x, y) = (-1.84101, 0.781462)
479: (x, y) = (1.31212, 1.50942)
480: (x, y) = (0.876742, -1.79759)
481: (x, y) = (-1.93185, -0.517638)
482: (x, y) = (1, -1.73205)
483: (x, y) = (-1.78201, 0.907981)
484: (x, y) = (0.876742, -1.79759)
485: (x, y) = (-0.517638, 1.93185)
486: (x, y) = (1.41421, -1.41421)
487: (x, y) = (-1.11839, -1.65808)
488: (x, y) = (0.243739, 1.98509)
489: (x, y) = (-0.347296, -1.96962)
490: (x, y) = (-1.94874, 0.449902)
491: (x, y) = (-0.209057, -1.98904)
492: (x, y) = (-0.312869, -1.97538)
493: (x, y) = (-1.94059, -0.483844)
494: (x, y) = (-0.415823, 1.9563)
495: (x, y) = (1.91261, 0.584743)
496: (x, y) = (-0.174311, 1.99239)
497: (x, y) = (-1.94059, 0.483844)
498: (x, y) = (1.53209, 1.28558)
499: (x, y) = (-1.17557, -1.61803)
500: (x, y) = (-1.87939, 0.68404)
501: (x, y) = (-0.813473, -1.82709)
502: (x, y) = (1.98509, -0.243739)
503: (x, y) = (-1.74924, 0.969619)
504: (x, y) = (-1.98904, 0.209057)
505: (x, y) = (0.907981, -1.78201)
506: (x, y) = (-0.651136, 1.89104)
507: (x, y) = (1.92252, -0.551275)
508: (x, y) = (0.845237, -1.81262)
509: (x, y) = (-1.48629, 1.33826)
510: (x, y) = (-0.174311, -1.99239)
511: (x, y) = (-1.25864, -1.55429)
512: (x, y) = (1.78201, -0.907981)
513: (x, y) = (-1.81262, -0.845237)
514: (x, y) = (-0.483844, -1.94059)
515: (x, y) = (-1.55429, 1.25864)
516: (x, y) = (-1.99878, -0.069799)
517: (x, y) = (-1.71433, -1.03008)
518: (x, y) = (1.91261, 0.584743)
519: (x, y) = (-0.139513, -1.99513)
520: (x, y) = (1.92252, -0.551275)
521: (x, y) = (1.11839, 1.65808)
522: (x, y) = (-1.96962, 0.347296)
523: (x, y) = (-0.845237, -1.81262)
524: (x, y) = (-0.651136, -1.89104)
525: (x, y) = (-1.61803, 1.17557)
526: (x, y) = (-1.41421, 1.41421)
527: (x, y) = (1.94059, -0.483844)
528: (x, y) = (1.28558, -1.53209)
529: (x, y) = (-1.99239, 0.174311)
530: (x, y) = (-0.069799, 1.99878)
531: (x, y) = (1.91261, -0.584743)
532: (x, y) = (0.781462, -1.84101)
533: (x, y) = (1.46271, -1.364)
534: (x, y) = (-1.38932, 1.43868)
535: (x, y) = (1.86716, -0.716736)
536: (x, y) = (-0.517638, -1.93185)
537: (x, y) = (-0.845237, 1.81262)
538: (x, y) = (1.59727, -1.20363)
539: (x, y) = (0.938943, 1.7659)
540: (x, y) = (-1.14715, 1.6383)
541: (x, y) = (-0.381618, 1.96325)
542: (x, y) = (-1.93185, 0.517638)
543: (x, y) = (-0.278346, 1.98054)
544: (x, y) = (1.17557, -1.61803)
545: (x, y) = (0.781462, -1.84101)
546: (x, y) = (-0.749213, 1.85437)
547: (x, y) = (1.9997, 0.0349048)
548: (x, y) = (1.92252, 0.551275)
549: (x, y) = (-1.25864, 1.55429)
550: (x, y) = (-0.104672, -1.99726)
551: (x, y) = (2, 0)
552: (x, y) = (1.05984, 1.6961)
553: (x, y) = (1.25864, -1.55429)
554: (x, y) = (-0.938943, 1.7659)
555: (x, y) = (1.25864, -1.55429)
556: (x, y) = (-0.139513, 1.99513)
557: (x, y) = (-1.14715, 1.6383)
558: (x, y) = (-1.94874, 0.449902)
559: (x, y) = (1.43868, 1.38932)
560: (x, y) = (1, -1.73205)
561: (x, y) = (-0.381618, -1.96325)
562: (x, y) = (1.78201, 0.907981)
563: (x, y) = (-0.517638, 1.93185)
564: (x, y) = (-1.59727, -1.20363)
565: (x, y) = (1.67734, 1.08928)
566: (x, y) = (0.209057, 1.98904)
567: (x, y) = (1.92252, -0.551275)
568: (x, y) = (-1.6961, 1.05984)
569: (x, y) = (0.347296, -1.96962)
570: (x, y) = (1.38932, 1.43868)
571: (x, y) = (-1.6383, 1.14715)
572: (x, y) = (1.86716, 0.716736)
573: (x, y) = (0.243739, 1.98509)
574: (x, y) = (-0.876742, 1.79759)
575: (x, y) = (-1.89104, -0.651136)
576: (x, y) = (1.92252, 0.551275)
577: (x, y) = (-1.33826, -1.48629)
578: (x, y) = (0.618034, 1.90211)
579: (x, y) = (1.6961, 1.05984)
580: (x, y) = (-1.31212, -1.50942)
581: (x, y) = (1.86716, -0.716736)
582: (x, y) = (1.67734, 1.08928)
583: (x, y) = (0.584743, -1.91261)
584: (x, y) = (0.651136, -1.89104)
585: (x, y) = (1.84101, 0.781462)
586: (x, y) = (-0.618034, 1.90211)
587: (x, y) = (1.84101, 0.781462)
588: (x, y) = (-1.6961, 1.05984)
589: (x, y) = (0.174311, -1.99239)
590: (x, y) = (0.781462, 1.84101)
591: (x, y) = (1.53209, -1.28558)
592: (x, y) = (1.364, 1.46271)
593: (x, y) = (1.67734, -1.08928)
594: (x, y) = (0.845237, 1.81262)
595: (x, y) = (-1.43868, 1.38932)
596: (x, y) = (2, 0)
597: (x, y) = (1.86716, 0.716736)
598: (x, y) = (-1, 1.73205)
599: (x, y) = (1.86716, 0.716736)
600: (x, y) = (-1.98509, 0.243739)
601: (x, y) = (1.57602, 1.23132)
After 602 steps, the subject has the following location:
(x,y) = (31.3732, 39.4525)
 or
(m,a) = (50.4061, 51.5077)
Average outward distance per step = 0.0837311
